사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201501,1호선,동대문,413,7,13701,1956,10907,7588,16633,13326,25485,31619,26160,31761,22286,31266,24367,38276,30862,41818,35031,40669,37354,41918,37417,38081,38600,34089,38790,32839,36750,33513,25964,35239,19939,26674,18504,21472,15619,19804,8089,15448,915,5095,3,41,0,0,0,0,20151223
201501,1호선,동묘앞,123,3,2104,911,2814,3042,5815,7798,8785,24546,7810,17820,8550,15805,11661,22693,16727,27272,23452,32872,30157,34871,34986,29175,35848,20615,32797,14661,27444,11301,13798,9271,7900,6397,6948,6448,5095,6810,2435,4715,299,3381,2,251,0,0,0,0,20151223
201501,1호선,서울역,1163,35,12983,10938,19926,57836,60421,124050,105203,247709,97001,139481,99358,93279,109526,88295,137585,94960,133819,102134,111699,106790,147034,111763,141031,115641,166058,120117,250225,141628,168969,111230,119080,78949,121402,70119,103602,61216,47793,31384,6731,8682,7,532,0,0,0,0,20151223
201501,1호선,시청,63,1,2155,4542,3551,20169,6448,74541,8988,178049,11467,77254,15129,44935,22185,45439,26035,43874,32585,44516,41208,40428,50331,36090,52492,29354,70261,28340,133304,29004,82182,18219,63877,9465,64114,7784,44610,6197,16372,3623,1211,1139,1,18,0,0,0,0,20151223
201501,1호선,신설동,148,11,6657,2189,9843,8999,22667,27017,31577,80159,22617,46398,21115,27961,25598,25881,29586,24701,32124,27839,30749,25885,34850,25862,34241,24436,42712,26575,68096,30571,36380,26465,22344,17375,19889,16694,15037,16431,6030,11279,434,2592,0,0,0,0,0,0,20151223
201501,1호선,제기동,265,4,4223,2565,8456,8686,21578,17389,29844,45279,22984,34697,24030,39145,33101,57059,43578,67222,54292,74533,63240,67625,72740,55596,72512,41356,58530,30067,50283,27435,25538,23675,14439,14165,13118,12742,8636,12534,3288,8411,182,2134,0,0,0,0,0,0,20151223
201501,1호선,종각,216,26,5927,4953,5998,28562,9180,129062,14948,283420,17499,167552,24830,86923,40169,83979,51894,82461,71817,89278,79369,77180,94789,66257,105175,64226,131629,75909,240714,100494,156780,75242,129728,28666,154013,16228,142051,10666,70190,6414,5727,1593,3,5,0,0,0,0,20151223
201501,1호선,종로3가,142,6,4713,1817,4437,12550,7303,32328,12977,104835,15926,121153,28548,100825,50061,102433,63740,104774,85087,114631,93767,99658,107606,80335,116521,67162,119726,62695,138658,71078,108557,52282,79462,19898,87762,13222,79719,9801,33877,6868,3472,3045,0,38,0,0,0,0,20151223
201501,1호선,종로5가,40,1,2220,3053,3321,12096,5476,46946,9863,126772,13664,89007,20764,64362,33365,66761,44012,71096,57828,66906,69778,65550,79426,59482,77196,49677,90435,45099,128778,43258,86998,29529,55021,13098,46722,9216,35925,7118,14578,4224,996,1239,0,0,1,2,0,0,20151223
201501,1호선,청량리(지하),1021,33,12104,3355,19186,13447,50159,23978,69303,46156,48013,43482,41756,45410,48630,57839,57018,66353,62755,76339,67721,78392,75301,73294,81116,66610,74951,64947,67528,74592,46567,65785,42185,41396,34263,36844,23864,39536,9224,26319,623,7816,1,0,1,0,0,0,20151223
