사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201803,1호선,동대문,664,12,15985,2421,12603,9076,21102,15098,28008,35081,25180,33163,22763,33197,23534,38968,29365,41039,33395,39548,34846,38128,35817,37023,36263,33376,37592,34538,36534,34316,26962,35543,20526,26986,19417,20539,17852,18804,10058,14751,1175,4951,4,77,0,0,0,0,20180403
201803,1호선,동묘앞,104,2,3548,813,3902,3774,7700,11915,10364,31898,10249,19479,10951,20708,15155,28572,20838,35169,29496,40837,35452,38632,40175,33466,43293,25587,40112,19381,34186,14070,16322,9609,8707,6762,8081,7333,5697,7730,2913,5376,311,3579,2,224,0,0,0,0,20180403
201803,1호선,서울역,994,18,11741,8346,14663,49537,40723,109189,73533,229924,55510,158221,64240,83219,83795,79459,94937,87136,96301,91648,85972,86889,108857,87878,118680,91076,153465,99163,235283,107041,138297,85465,97926,57114,100929,51860,72088,42417,31091,23151,4354,8383,0,505,0,0,0,0,20180403
201803,1호선,시청,121,1,2265,4463,3643,25817,7898,73953,11024,184675,13935,81550,17193,44685,22173,43955,24913,43106,33209,49049,40570,42083,52807,32973,59357,28998,79000,28636,152863,30034,77648,17468,57363,9318,60571,8461,40779,7100,14514,4575,1093,1391,0,15,0,0,0,0,20180403
201803,1호선,신설동,289,15,9027,2509,11045,7821,23302,30406,31555,77258,24552,44363,22085,28404,24836,26672,27190,26467,30117,27673,29915,25426,32781,26224,36924,26063,46314,31938,70663,33097,34739,28561,22151,18633,20843,17347,16233,17172,6904,12962,691,3104,0,3,0,0,0,0,20180403
201803,1호선,제기동,422,4,4909,2449,9823,8037,24854,20218,34786,53806,26049,40358,27991,42711,36156,55768,44134,66826,52078,72105,60231,63653,69637,53641,70650,42371,60285,33765,55568,31341,30497,26276,17820,15829,13776,14380,9171,13246,4110,9730,274,2082,0,0,0,0,0,0,20180403
201803,1호선,종각,99,8,4311,5323,5135,31036,7615,101533,13837,277125,17291,160982,23339,79524,34923,74661,42470,72599,62650,76109,71678,64964,83675,56235,95700,57918,135114,65480,247128,86922,138894,57788,114534,22550,136857,13839,113837,9936,53009,6505,4554,1692,1,2,0,0,0,0,20180403
201803,1호선,종로3가,146,9,5511,2459,4369,11856,6618,28589,11274,85730,16187,95153,25180,81546,40613,90907,54480,93918,70781,94604,80808,84482,89668,70373,98732,61550,106518,60417,131432,66817,101966,42848,73388,17137,81086,11733,68457,9603,29488,6636,3363,2786,1,21,0,0,0,0,20180403
201803,1호선,종로5가,50,2,2273,3553,3559,17196,5800,43316,10015,127486,14200,83355,23917,68283,34281,72747,46464,72864,60004,66897,69569,62524,74637,54307,77851,47262,90238,43592,126660,41212,79717,26456,50835,12212,43300,8455,33400,6253,12417,4104,884,1158,0,7,0,0,0,0,20180403
201803,1호선,청량리(서울시립대입구),1209,56,12570,3752,19948,12766,49830,23537,70277,48360,47535,46646,39782,44763,44807,52946,50603,60462,54084,69011,59331,68682,65983,64548,74255,60217,70600,60763,62985,74227,42791,59769,34123,36810,26941,33049,19366,33390,9297,23470,544,7356,4,3,0,0,0,0,20180403
201803,2호선,강남,355,7,16179,12569,24518,58266,50755,197237,81221,368063,70534,370091,67271,188906,91203,159664,115397,157543,154732,195367,158608,173847,187862,161871,211567,170761,266938,209573,403046,293363,292835,237272,238565,106051,293687,77466,322635,66194,145221,39536,24781,12431,13,100,0,0,0,0,20180403
201803,2호선,강변(동서울터미널),37,1,10219,4009,32344,32323,107049,42398,156296,60606,117037,55377,93817,54778,89276,56730,85188,63515,84414,74587,78938,82314,78642,93814,83497,103711,95800,116756,100262,156568,85405,137290,66037,93296,54455,83015,41148,78209,16006,43711,2133,11093,1,136,0,0,0,0,20180403
201803,2호선,건대입구,350,10,20529,1979,28251,16719,69552,31681,120426,87826,78595,61780,48266,61224,48362,61938,57242,75154,65282,81994,66894,83760,73017,90673,83014,106588,97846,143711,117880,213531,96780,182931,98427,101727,115836,84619,122391,79330,76404,50051,12309,17075,14,1417,0,0,0,0,20180403
201803,2호선,교대(법원.검찰청),30,0,3006,7051,14656,32562,31897,75309,46446,175290,38430,162046,35941,82379,44469,73803,46907,69013,60522,73100,67586,70001,73119,63495,73828,63699,98591,76559,169110,98579,94435,69167,71691,38253,79818,32860,79815,32479,29775,18562,5513,5717,1,1,3,1,0,0,20180403
201803,2호선,구로디지털단지,230,4,45228,6507,60385,22936,164431,75358,207634,285943,135170,164978,83616,68816,77520,58191,81897,58561,83633,73068,74741,77926,75571,83375,90167,93614,121987,124483,254695,177945,153902,172003,91271,114543,79684,111125,63315,117212,31936,73566,4799,20120,1,313,0,0,0,0,20180403
201803,2호선,구의(광진구청),44,0,13543,1504,27316,10977,79815,17166,127521,43560,72415,28182,39560,23060,35046,22980,35888,25008,37285,28536,32416,31054,31451,37382,34754,44275,40135,57808,50542,87459,30009,80081,22681,54265,21085,52632,17647,52026,10852,31203,1584,10216,4,177,0,1,0,0,20180403
201803,2호선,낙성대,92,3,12321,2342,28874,12202,100640,26728,145708,54445,91662,44408,49546,37107,43927,27543,46936,33433,47663,36496,42117,36310,45735,41108,49408,47710,56342,62810,67564,98392,43784,107580,32105,70049,33379,67758,26712,71481,15204,48499,2443,14955,2,162,0,0,0,0,20180403
201803,2호선,당산,25,2,7171,3682,18109,14486,57681,35936,71498,95532,47843,46879,32935,24741,32269,25114,31889,26328,31601,30502,28607,29580,29078,33231,33970,39332,51039,49072,73900,76262,42036,68167,26567,44500,25486,43140,21810,43181,11251,29065,1867,8577,4,241,0,0,0,0,20180403
201803,2호선,대림(구로구청),398,15,38877,4273,37868,13734,85651,26021,114483,72476,81726,47718,50869,40085,44174,43934,46649,41730,48487,44917,43557,44679,42697,52325,47910,57836,56842,80365,75507,91024,44205,78944,31706,54664,26557,65599,19078,70142,10214,36392,1412,9981,2,204,0,0,0,0,20180403
201803,2호선,도림천,1,0,429,368,1322,978,3686,7254,3115,6052,2103,2133,1672,1459,1346,1288,1908,1738,1651,1459,1935,1540,2671,1471,4072,1710,2724,2120,3672,2938,2252,3045,1206,1956,1226,1846,587,1561,198,1155,43,388,0,6,0,0,0,0,20180403
201803,2호선,동대문역사문화공원,309,0,11496,1168,7509,11711,9433,30310,15025,68573,15767,44388,17465,39490,22444,38232,26216,39965,29517,45247,34679,43250,45808,39560,54958,37708,58741,39918,68557,45955,52777,55170,38100,37708,36587,28696,32625,22422,23876,15248,3603,5548,4,124,0,0,0,0,20180403
201803,2호선,뚝섬,21,1,4494,1855,9979,13788,28163,30323,36543,119781,23709,60326,18739,25666,18994,20283,20407,22287,23618,24340,24098,23706,26324,24962,31457,26700,41019,31104,98701,46114,50889,34322,28168,20503,30034,18634,20329,18238,8167,12008,1160,4317,2,86,0,0,0,0,20180403
201803,2호선,문래,11,1,4387,2170,15119,10551,49161,31821,50959,116550,30497,60314,23423,24835,24378,23877,26880,25079,28770,26637,27038,25958,29972,25355,32394,28179,45583,32688,95615,49755,45737,46938,27310,27118,26326,24309,21433,22875,9595,15716,1589,4970,3,183,2,1,0,0,20180403
201803,2호선,방배,10,0,3518,3357,11606,14373,32793,32127,45890,95783,35888,71446,25438,50479,27649,33509,30411,37180,34136,36445,36946,33583,44187,31980,55293,34482,62296,42634,89313,50320,47106,43043,33873,27322,35146,25647,30246,27773,12519,16927,2333,5106,0,8,0,0,0,0,20180403
201803,2호선,봉천,74,5,16937,2260,30930,10787,87571,16184,119769,30172,73083,26533,41268,23941,36030,24556,38951,25900,40426,28292,32850,30389,32420,38573,37965,43871,39093,54829,41478,78638,26384,77141,20054,50279,18975,47994,14651,49444,6516,30520,1042,8761,2,324,0,0,0,0,20180403
201803,2호선,사당,128,5,13977,3964,27027,32895,78367,61561,107845,90755,77893,72451,53262,55913,51596,66359,60018,66733,67623,63244,72881,63637,71366,72849,73529,95314,83002,134195,106821,198453,85734,169268,79457,96604,91084,87535,90448,89005,50869,59874,8917,18347,14,1170,0,0,0,0,20180403
201803,2호선,삼성(무역센터),162,0,5114,5571,9220,42436,22011,126710,30778,356236,31351,272615,31603,128318,44308,111765,56929,106034,77406,115521,92482,104011,116238,88067,137474,81380,185870,78244,331085,88276,219687,62500,155442,30465,135638,22823,100190,21042,29720,11774,3838,6634,0,2115,0,0,0,0,20180403
