,line,name,lat,lng,geometry,no
0,01호선,소요산,37.9481,127.061034,POINT (127.061034 37.9481),100
1,01호선,동두천,37.927878,127.05479,POINT (127.05479 37.927878),101
2,01호선,보산,37.913702,127.057277,POINT (127.057277 37.913702),102
3,01호선,동두천중앙,37.901885,127.056482,POINT (127.056482 37.901885),103
4,01호선,지행,37.892334,127.055716,POINT (127.055716 37.892334),104
5,01호선,덕정,37.843188,127.061277,POINT (127.061277 37.843188),105
6,01호선,덕계,37.818486,127.056486,POINT (127.056486 37.818486),106
7,01호선,양주,37.774381,127.044708,POINT (127.044708 37.774381),107
8,01호선,녹양,37.75938,127.042292,POINT (127.042292 37.75938),108
9,01호선,가능,37.748577,127.044213,POINT (127.044213 37.748577),109
10,01호선,의정부,37.738415,127.045958,POINT (127.045958 37.738415),110
11,01호선,회룡,37.724846,127.046895,POINT (127.046895 37.724846),111
12,01호선,망월사,37.709914,127.047455,POINT (127.047455 37.709914),112
13,01호선,도봉산,37.689313,127.046222,POINT (127.046222 37.689313),113
14,01호선,도봉,37.679563,127.045595,POINT (127.045595 37.679563),114
15,01호선,방학,37.667503,127.044273,POINT (127.044273 37.667503),115
16,01호선,창동,37.653166,127.047731,POINT (127.047731 37.653166),116
17,01호선,녹천,37.644799,127.051269,POINT (127.051269 37.644799),117
18,01호선,월계,37.633212,127.058831,POINT (127.058831 37.633212),118
19,01호선,광운대,37.623632,127.061835,POINT (127.061835 37.623632),119
20,01호선,석계,37.614805,127.065851,POINT (127.065851 37.614805),120
21,01호선,신이문,37.601854,127.067325,POINT (127.067325 37.601854),121
22,01호선,외대앞,37.596073,127.063549,POINT (127.063549 37.596073),122
23,01호선,회기,37.58946,127.057583,POINT (127.057583 37.58946),123
24,01호선,청량리,37.580178,127.046835,POINT (127.046835 37.580178),124
25,01호선,제기동,37.578103,127.034893,POINT (127.034893 37.578103),125
26,01호선,신설동,37.575297,127.025087,POINT (127.025087 37.575297),126
27,01호선,동묘앞,37.572627,127.016429,POINT (127.016429 37.572627),127
28,01호선,동대문,37.57142,127.009745,POINT (127.009745 37.57142),128
29,01호선,종로5가,37.570926,127.001849,POINT (127.001849 37.570926),129
30,01호선,종로3가,37.571607,126.991806,POINT (126.991806 37.571607),130
31,01호선,종각,37.570161,126.982923,POINT (126.982923 37.570161),131
32,01호선,시청,37.564718,126.977108,POINT (126.977108 37.564718),132
33,01호선,서울역,37.554648,126.972559,POINT (126.972559 37.554648),133
34,01호선,남영,37.541021,126.9713,POINT (126.9713 37.541021),134
35,01호선,용산,37.529849,126.964561,POINT (126.964561 37.529849),135
36,01호선,노량진,37.514219,126.942454,POINT (126.942454 37.514219),136
37,01호선,대방,37.513342,126.926382,POINT (126.926382 37.513342),137
38,01호선,신길,37.517122,126.917169,POINT (126.917169 37.517122),138
39,01호선,영등포,37.515504,126.907628,POINT (126.907628 37.515504),139
40,01호선,신도림,37.508725,126.891295,POINT (126.891295 37.508725),140
41,01호선,구로,37.503039,126.881966,POINT (126.881966 37.503039),141
42,01호선,구일,37.496756,126.870793,POINT (126.870793 37.496756),142
43,01호선,개봉,37.494594,126.85868,POINT (126.85868 37.494594),143
44,01호선,오류동,37.494526,126.845365,POINT (126.845365 37.494526),144
45,01호선,온수,37.492258,126.823388,POINT (126.823388 37.492258),145
46,01호선,역곡,37.485178,126.811502,POINT (126.811502 37.485178),146
47,01호선,소사,37.482753,126.79544,POINT (126.79544 37.482753),147
48,01호선,부천,37.48405,126.782686,POINT (126.782686 37.48405),148
49,01호선,중동,37.486562,126.764843,POINT (126.764843 37.486562),149
50,01호선,송내,37.4876,126.753664,POINT (126.753664 37.4876),150
51,01호선,부개,37.488418,126.74109,POINT (126.74109 37.488418),151
52,01호선,부평,37.489493,126.724805,POINT (126.724805 37.489493),152
53,01호선,백운,37.483664,126.707704,POINT (126.707704 37.483664),153
54,01호선,동암,37.471408,126.702896,POINT (126.702896 37.471408),154
55,01호선,간석,37.464737,126.694181,POINT (126.694181 37.464737),155
56,01호선,주안,37.464941,126.679923,POINT (126.679923 37.464941),156
57,01호선,도화,37.46607,126.668672,POINT (126.668672 37.46607),157
58,01호선,제물포,37.466769,126.656666,POINT (126.656666 37.466769),158
59,01호선,도원,37.468446,126.642706,POINT (126.642706 37.468446),159
60,01호선,동인천,37.475276,126.632802,POINT (126.632802 37.475276),160
61,01호선,인천,37.476691,126.616936,POINT (126.616936 37.476691),161
62,01호선,가산디지털단지,37.481072,126.882343,POINT (126.882343 37.481072),P142
63,01호선,독산,37.466613,126.889249,POINT (126.889249 37.466613),P143
64,01호선,금천구청,37.455626,126.89398,POINT (126.89398 37.455626),P144
65,01호선,광명,37.416182,126.884466,POINT (126.884466 37.416182),P144-1
66,01호선,석수,37.435047,126.902295,POINT (126.902295 37.435047),P145
67,01호선,관악,37.419232,126.908706,POINT (126.908706 37.419232),P146
68,01호선,안양,37.401592,126.922874,POINT (126.922874 37.401592),P147
69,01호선,명학,37.384653,126.935433,POINT (126.935433 37.384653),P148
70,01호선,금정,37.372221,126.943429,POINT (126.943429 37.372221),P149
71,01호선,군포,37.35356,126.948462,POINT (126.948462 37.35356),P150
72,01호선,당정,37.344285,126.948345,POINT (126.948345 37.344285),P151
73,01호선,의왕,37.320852,126.948217,POINT (126.948217 37.320852),P152
74,01호선,성균관대,37.300349,126.97075,POINT (126.97075 37.300349),P153
75,01호선,화서,37.283862,126.989627,POINT (126.989627 37.283862),P154
76,01호선,수원,37.265974,126.999874,POINT (126.999874 37.265974),P155
77,01호선,세류,37.245025,127.013222,POINT (127.013222 37.245025),P156
